DT_REALIZ_VOO,COUNT,QT_PAX_CONEX_DOM,QT_PAX_CONEX_INT,QT_PAX_PAGANTE
22/11/2018,671,19298,1619,70024
23/11/2018,671,17471,1594,73157
24/11/2018,544,12755,2272,56163
25/11/2018,600,12980,2360,63612
26/11/2018,708,19855,1995,72115
27/11/2018,659,17264,1754,65578
28/11/2018,630,16805,1894,62442
29/11/2018,616,16540,1969,61225
30/11/2018,594,16047,1983,62026
01/12/2018,503,9544,1939,52586
02/12/2018,579,12612,2283,61523
03/12/2018,305,7029,535,35814
